127.0.0.1 - - [21/Mar/2021:09:41:26 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/index.jsp HTTP/1.1" 200 32712
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2021:09:41:31 +0530] "GET /BloomIdea/js/jquery.isotope.min.js HTTP/1.1" 304 -
