127.0.0.1 - - [10/Mar/2021:16:43:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/index.jsp HTTP/1.1" 200 36200
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/prettyPhoto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/js/jquery.prettyPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/js/jquery.isotope.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/portfolio/item-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/portfolio/item-6.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/portfolio/item-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/portfolio/item-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/portfolio/item-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/portfolio/item-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2021:16:43:25 +0530] "GET /BloomIdeas.in/images/services/web-app.svg HTTP/1.1" 304 -
